throughput_kbps,pdr_pct,plr_pct,avg_normal_delay_s,avg_hp_delay_s,energy_nj_bit,action,Policy,run
2.9376,20.4682,71.8395,0.163687,0.176786,798.0,2,Proposed DQN-Edge,1
7.92,55.5182,34.7465,0.579115,0.0229015,437.948,1,Strict Priority,1
2.7328,19.0923,71.6521,0.80216,0.350639,849.459,1,Random,1
4.7488,34.1149,57.5402,0.205144,0.186634,564.361,2,Proposed DQN-Edge,2
7.9136,56.3968,34.5724,0.62637,0.0293478,424.038,0,Strict Priority,2
2.9056,21.0624,68.9167,0.876836,0.346684,780.214,3,Random,2
3.3664,24.8641,67.549,0.173711,0.196386,729.312,0,Proposed DQN-Edge,3
7.92,57.4779,33.2791,0.732241,0.0288869,463.805,1,Strict Priority,3
2.7936,20.3307,70.7266,1.00826,0.389717,833.057,0,Random,3
5.3152,37.9657,55.0629,0.263661,0.231432,505.901,2,Proposed DQN-Edge,4
7.9232,56.763,34.3879,0.723189,0.0302074,401.998,1,Strict Priority,4
2.8384,20.265,72.584,1.01382,0.415443,784.954,0,Random,4
4.816,35.0244,58.1801,0.238338,0.222711,549.876,0,Proposed DQN-Edge,5
7.8944,57.1992,34.5467,0.618785,0.0251189,410.206,1,Strict Priority,5
2.8256,20.3082,71.3661,0.941498,0.360154,800.262,2,Random,5
4.2464,30.118,63.6405,0.196589,0.177792,634.584,2,Proposed DQN-Edge,6
7.9008,56.5636,34.2497,0.56331,0.028408,442.65,1,Strict Priority,6
2.7936,19.769,73.0752,0.797347,0.358486,845.376,4,Random,6
4.7552,33.8651,57.8851,0.187749,0.169868,558.13,0,Proposed DQN-Edge,7
7.8944,55.9664,35.2768,0.524491,0.0284143,416.794,1,Strict Priority,7
2.8352,20.2006,69.9498,0.767681,0.325278,799.161,3,Random,7
4.6944,33.8096,59.092,0.189325,0.172169,570.444,2,Proposed DQN-Edge,8
7.8912,56.9778,34.9584,0.525386,0.0255769,421.443,1,Strict Priority,8
2.8576,20.7241,71.5479,0.756695,0.293253,799.008,3,Random,8
4.5504,33.1006,59.73,0.198003,0.222168,495.618,0,Proposed DQN-Edge,9
7.9168,57.2818,33.5726,0.842191,0.0273843,345.344,1,Strict Priority,9
2.8896,21.1972,71.5258,1.10546,0.351075,698.249,0,Random,9
4.0192,28.5131,63.9274,0.175,0.201974,699.246,4,Proposed DQN-Edge,10
7.8944,56.5178,35.0745,0.647929,0.0282099,474.609,1,Strict Priority,10
2.7744,19.8534,71.88,0.88,0.331695,895.735,0,Random,10
3.1936,22.9795,70.7575,0.13352,0.175937,743.478,4,Proposed DQN-Edge,11
7.9168,56.8474,34.375,0.58836,0.0309567,429.978,0,Strict Priority,11
2.6336,19.1262,73.5301,0.840421,0.350862,848.049,0,Random,11
5.584,40.4029,53.1605,0.284173,0.212404,453.824,2,Proposed DQN-Edge,12
7.9136,57.325,36.2772,0.657457,0.0235681,364.753,1,Strict Priority,12
2.8128,20.2721,72.5323,0.827103,0.360174,753.319,0,Random,12
4.2784,30.1534,61.2314,0.173271,0.174813,587.112,2,Proposed DQN-Edge,13
7.9008,55.7462,34.4322,0.541679,0.0270927,412.05,1,Strict Priority,13
2.7744,19.5579,71.0129,0.679796,0.352785,802.007,3,Random,13
5.1104,36.3698,55.1811,0.255117,0.201752,514.955,4,Proposed DQN-Edge,14
7.92,56.9096,34.2837,0.680725,0.029841,395.321,1,Strict Priority,14
2.832,20.2193,69.7738,0.917578,0.340483,782.075,2,Random,14
5.4976,39.4127,50.9979,0.277407,0.205507,562.449,2,Proposed DQN-Edge,15
7.8944,56.9614,32.8331,0.551481,0.022021,469.514,0,Strict Priority,15
2.6528,19.075,72.2273,0.76327,0.359497,891.287,0,Random,15
4.4064,31.0555,62.6297,0.218266,0.20012,570.746,2,Proposed DQN-Edge,16
7.9168,55.633,36.2941,0.637599,0.0305633,400.603,0,Strict Priority,16
2.7584,19.1088,72.0239,1.10438,0.302094,818.28,4,Random,16
5.4464,39.4896,53.2947,0.278995,0.210151,547.303,1,Proposed DQN-Edge,17
7.9168,57.7767,33.6759,0.639542,0.0226345,449.877,0,Strict Priority,17
2.9152,21.2058,70.7635,0.842157,0.341397,814.423,4,Random,17
4.8416,34.324,59.7777,0.201705,0.187097,510.61,0,Proposed DQN-Edge,18
7.9264,55.8638,37.3929,0.57535,0.0331843,377.138,1,Strict Priority,18
2.7168,19.2168,72.6347,0.771368,0.356693,785.877,3,Random,18
5.2544,37.6951,54.9357,0.230241,0.180117,551.878,0,Proposed DQN-Edge,19
7.9136,56.1407,36.3224,0.536111,0.0248831,446.627,0,Strict Priority,19
2.8192,20.1142,71.7352,0.662235,0.372652,826.986,0,Random,19
4.4736,32.6712,60.5515,0.187884,0.186906,515.629,2,Proposed DQN-Edge,20
7.92,57.3847,33.8975,0.550383,0.0295761,356.044,0,Strict Priority,20
2.8384,20.7195,70.4275,0.730943,0.383473,726.267,4,Random,20
