epoch,score,epsilon,lr,buffer
1,0.53192595,0.47251421989671744,9.990133642141384e-05,2499
2,0.23354615,0.13540297908439383,9.930015108992086e-05,4998
3,0.39547574999999996,0.05,9.81592546195958e-05,7497
4,0.2623007,0.05,9.64911369221266e-05,9996
5,0.31611490000000003,0.05,9.431405963935895e-05,12495
6,0.30859135,0.05,9.165185622481512e-05,14994
7,0.36747335,0.05,8.853367102805396e-05,17493
8,0.31423919999999994,0.05,8.499364023824388e-05,19992
9,0.4005965,0.05,8.107051817979967e-05,22491
10,0.27106955,0.05,7.680725305119833e-05,24990
11,0.47957415,0.05,7.225051675154838e-05,27489
